planet_name,host_star_name,system_star_number,sytem_planet_number,system_moon_number,discovery_year,discovery_facility,planet_controvercial_flag,planet_orbital_period_days,planet_radius_earth_radii,planet_mass_earth_mass,planet_orbit_eccentricity,star_temperature_kelvin,star_radius_solar_radii,star_mass_solar_mass,system_distance_parsecs
11 Com b,11 Com,2,1,0,2007,Xinglong Station,0,null,null,null,null,null,null,2.6,93.1846
11 Com b,11 Com,2,1,0,2007,Xinglong Station,0,326.03,null,null,0.231,4742.0,19.0,2.7,93.1846
11 Com b,11 Com,2,1,0,2007,Xinglong Station,0,323.21,null,null,0.238,4874.0,13.76,2.09,93.1846
11 UMi b,11 UMi,1,1,0,2009,Thueringer Landessternwarte Tautenburg,0,516.21997,null,null,0.08,4213.0,29.79,2.78,125.321
11 UMi b,11 UMi,1,1,0,2009,Thueringer Landessternwarte Tautenburg,0,null,null,null,null,null,null,1.7,125.321
11 UMi b,11 UMi,1,1,0,2009,Thueringer Landessternwarte Tautenburg,0,516.22,null,null,0.08,4340.0,24.08,1.8,125.321
14 And b,14 And,1,1,0,2008,Okayama Astrophysical Observatory,0,186.76,null,null,0.0,4888.0,11.55,1.78,75.4392
14 And b,14 And,1,1,0,2008,Okayama Astrophysical Observatory,0,null,null,null,null,null,null,1.2,75.4392
14 And b,14 And,1,1,0,2008,Okayama Astrophysical Observatory,0,185.84,null,null,0.0,4813.0,11.0,2.2,75.4392
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1773.4,null,null,0.369,null,null,null,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1766.0,null,null,0.359,5280.0,1.0,0.91,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1765.0389,null,2559.47216,0.373,null,null,0.91,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1773.40002,null,null,0.37,5338.0,0.93,0.9,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1796.4,null,null,0.338,5255.0,null,0.9,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1766.41,null,null,0.3674,5314.94,1.0,0.97,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1724.0,null,null,0.37,null,null,1.0,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,null,null,null,0.357,null,null,0.9,17.9323
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,799.45,null,null,0.6832,5711.97,1.16,0.98,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,798.5,null,null,0.681,5674.0,null,0.99,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,800.8,null,null,0.634,5760.0,null,1.0,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,799.5,null,null,0.689,5747.0,1.13,1.03,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,799.5,null,null,0.689,null,null,null,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,798.5,null,null,0.68,5750.0,1.13,1.08,21.1397
17 Sco b,17 Sco,1,1,0,2020,Lick Observatory,0,578.38,null,null,0.06,4157.0,25.92,1.22,124.953
18 Del b,18 Del,2,1,0,2008,Okayama Astrophysical Observatory,0,993.3,null,null,0.08,4979.0,8.5,2.3,76.222
18 Del b,18 Del,2,1,0,2008,Okayama Astrophysical Observatory,0,982.85,null,null,0.024,4980.0,8.8,2.1,76.222
18 Del b,18 Del,2,1,0,2008,Okayama Astrophysical Observatory,0,null,null,null,null,null,null,2.1,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,0,null,null,4000.0,null,4060.0,null,0.85,139.135
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,0,null,null,3000.0,null,4060.0,null,0.85,139.135
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,0,null,null,3000.0,null,3993.0,1.31,0.62,139.135
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,0,null,18.647,2543.0,null,4060.0,1.35,0.85,139.135
24 Boo b,24 Boo,1,1,0,2018,Okayama Astrophysical Observatory,0,30.3506,null,null,0.042,4893.0,10.64,0.99,95.9863
24 Boo b,24 Boo,1,1,0,2018,Okayama Astrophysical Observatory,0,30.33,null,null,0.032,4816.0,12.19,1.05,95.9863
24 Sex b,24 Sex,1,2,0,2010,Lick Observatory,0,452.8,null,null,0.09,5098.0,4.9,1.54,72.0691
24 Sex c,24 Sex,1,2,0,2010,Lick Observatory,0,883.0,null,null,0.29,5098.0,4.9,1.54,72.0691
2M0437 b,2MASS J04372171+2651014,1,1,0,2021,Subaru Telescope,0,null,null,1271.31363,null,3100.0,0.84,0.17,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,2013,Paranal Observatory,0,null,null,4131.79,null,null,null,0.19,null
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,2013,W. M. Keck Observatory,0,null,11.209,null,null,3309.0,0.37,0.35,33.8281
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,2013,W. M. Keck Observatory,0,null,null,7786.5,null,3530.0,null,0.4,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,2015,Cerro Tololo Inter-American Observatory,0,null,16.141,4417.837,null,3064.0,0.28,0.11,null
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,2018,Mauna Kea Observatory,0,null,null,3686.80952,null,null,null,0.05,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,0,null,null,5720.91133,null,null,null,null,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,2010,Hubble Space Telescope,0,null,null,2383.6,null,null,null,0.02,null
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,0,null,null,8899.1954,null,null,null,null,null
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,0,null,null,6356.56814,null,null,null,null,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,2004,Paranal Observatory,0,null,null,1589.15,null,null,null,0.02,64.308
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,2004,Paranal Observatory,0,null,null,1271.0,null,2825.0,0.22,0.19,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,2015,Kepler,0,406.0,null,null,0.33,29564.0,0.2,0.48,396.332
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,2015,Kepler,0,416.0,null,603.877,null,null,null,0.48,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,0,null,null,3813.94088,null,null,null,null,34.1154
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,2016,W. M. Keck Observatory,0,null,null,3972.875,null,4045.0,null,0.6,69.5737
30 Ari B b,30 Ari B,4,1,0,2009,Thueringer Landessternwarte Tautenburg,0,335.1,null,null,0.289,6300.0,1.13,1.16,44.657
30 Ari B b,30 Ari B,4,1,0,2009,Thueringer Landessternwarte Tautenburg,0,345.4,null,null,0.18,null,1.13,1.16,44.657
30 Ari B b,30 Ari B,4,1,0,2009,Thueringer Landessternwarte Tautenburg,0,335.10001,null,null,0.29,6331.0,1.41,1.93,44.657
4 UMa b,4 UMa,1,1,0,2006,Thueringer Landessternwarte Tautenburg,0,270.27,null,null,0.453,4415.0,18.11,1.23,73.4603
4 UMa b,4 UMa,1,1,0,2006,Thueringer Landessternwarte Tautenburg,0,269.3,null,null,0.432,4415.0,18.11,1.23,73.4603
42 Dra b,42 Dra,2,1,0,2008,Thueringer Landessternwarte Tautenburg,0,479.1,null,null,0.38,4200.0,22.03,0.98,90.6545
47 UMa b,47 UMa,1,3,0,1996,Lick Observatory,0,1076.6,null,null,0.012,5882.0,null,1.06,13.7967
47 UMa b,47 UMa,1,3,0,1996,Lick Observatory,0,1078.0,null,null,0.032,5872.0,1.21,1.06,13.7967
47 UMa b,47 UMa,1,3,0,1996,Lick Observatory,0,1100.8,null,null,0.097,null,null,null,13.7967
47 UMa b,47 UMa,1,3,0,1996,Lick Observatory,0,1083.2,null,null,0.049,null,null,null,13.7967
47 UMa b,47 UMa,1,3,0,1996,Lick Observatory,0,1076.6,null,null,0.016,5829.16,1.14,1.01,13.7967
47 UMa c,47 UMa,1,3,0,2001,Lick Observatory,0,2391.0,null,null,0.098,5872.0,1.21,1.06,13.7967
47 UMa c,47 UMa,1,3,0,2001,Lick Observatory,0,7586.0,null,null,0.005,null,null,null,13.7967
47 UMa c,47 UMa,1,3,0,2001,Lick Observatory,0,2287.0,null,null,0.179,5829.16,1.14,1.01,13.7967
47 UMa d,47 UMa,1,3,0,2009,Lick Observatory,0,14002.0,null,null,0.16,5872.0,1.21,1.06,13.7967
47 UMa d,47 UMa,1,3,0,2009,Lick Observatory,0,19000.0,null,null,0.38,5829.16,1.14,1.01,13.7967
51 Eri b,51 Eri,3,1,0,2015,Gemini Observatory,0,14965.0,null,null,0.21,7295.0,1.49,1.65,29.7575
51 Eri b,51 Eri,3,1,0,2015,Gemini Observatory,0,11688.0,null,null,0.45,7295.0,1.49,1.65,29.7575
51 Eri b,51 Eri,3,1,0,2015,Gemini Observatory,0,null,null,635.66,null,null,null,1.75,29.7575
51 Peg b,51 Peg,1,1,0,1995,Haute-Provence Observatory,0,4.23077,null,null,0.0,null,null,null,15.4614
51 Peg b,51 Peg,1,1,0,1995,Haute-Provence Observatory,0,4.2293,null,null,0.0,5773.0,1.29,null,15.4614
51 Peg b,51 Peg,1,1,0,1995,Haute-Provence Observatory,0,4.2307969,null,null,0.0042,5760.76,1.19,1.07,15.4614
51 Peg b,51 Peg,1,1,0,1995,Haute-Provence Observatory,0,4.231,null,146.2018,0.0,null,null,1.04,15.4614
51 Peg b,51 Peg,1,1,0,1995,Haute-Provence Observatory,0,4.230785,null,null,0.013,5758.0,1.18,1.03,15.4614
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.6,null,254.25,0.0,null,null,null,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.65126,null,null,0.0159,5250.0,0.96,0.9,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.653,null,null,0.02,null,null,0.95,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.6516,null,null,0.0,5172.0,0.94,0.91,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.465314,null,266.966,0.0023,5250.0,0.96,0.9,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.651,null,null,0.004,5250.0,0.96,0.9,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.647,null,null,0.03,null,null,null,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.648,null,null,0.051,5200.0,null,0.85,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.65171,null,null,0.0048,5317.89,0.96,0.97,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.65152,null,263.9785,0.0034,null,null,0.95,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.65162,null,null,0.014,5250.0,0.96,0.9,12.5855
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,0,14.67,null,null,0.0197,null,null,0.95,12.5855
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,0,44.373,null,56.6985,0.072,5250.0,0.96,0.9,12.5855
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,0,44.38,null,null,0.07,5250.0,0.96,0.9,12.5855
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,0,44.3787,null,null,0.053,5250.0,0.96,0.9,12.5855
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,0,44.3446,null,null,0.086,5250.0,0.96,0.9,12.5855
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,0,44.3827,null,null,0.048,5317.89,0.96,0.97,12.5855
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,0,44.4175,null,54.4738,0.02,null,null,0.95,12.5855
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,0,44.3989,null,null,0.03,5172.0,0.94,0.91,12.5855
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,0,43.93,null,null,0.44,null,null,0.95,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,4545.0,null,null,0.24,null,null,null,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,5218.0,null,null,0.025,5250.0,0.96,0.9,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,4517.4,null,null,0.327,null,null,0.95,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,5370.0,null,null,0.063,5250.0,0.96,0.9,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,4909.0,null,null,0.02,5250.0,0.96,0.9,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,5574.2,null,null,0.13,5172.0,0.94,0.91,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,4867.0,null,1226.77,0.0269,5250.0,0.96,0.9,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,5360.0,null,null,0.16,null,null,0.95,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,4820.0,null,null,0.139,5317.89,0.96,0.97,12.5855
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,0,4825.0,null,1232.493,0.019,null,null,0.95,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.737,1.897,7.74,null,5172.0,0.95,0.87,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.7365417,null,null,null,null,null,null,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.7365474,1.875,7.99,0.05,5172.0,0.94,0.91,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.7365515,null,8.13928,0.04,null,null,0.95,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.73654625,null,null,null,5234.0,0.94,0.91,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.736539,1.91,8.08,null,5250.0,0.96,0.9,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.7365474,1.947,8.59,null,null,0.98,1.01,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,null,1.92,8.08,null,5250.0,0.96,0.9,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.73654625,2.023,null,null,5250.0,0.96,null,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.7365437,2.08,7.81,0.061,5234.0,0.94,0.91,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.73654604,null,null,null,null,null,null,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,2.79674,null,null,0.264,5250.0,0.96,0.9,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.7365478,null,8.09479,0.028,5250.0,0.96,0.9,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,null,null,null,null,5250.0,0.96,0.9,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.736546,2.173,8.37,0.0,5250.0,0.96,0.9,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.7365445,null,null,0.036,5317.89,0.96,0.97,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,0.73654,2.0,8.63,null,null,0.94,0.96,12.5855
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,0,2.808,null,null,0.174,null,null,0.95,12.5855
55 Cnc f,55 Cnc,2,5,0,2007,Multiple Observatories,0,260.91,null,47.0051,0.08,5250.0,0.96,0.9,12.5855
55 Cnc f,55 Cnc,2,5,0,2007,Multiple Observatories,0,260.7,null,null,0.0,5250.0,0.96,0.9,12.5855
55 Cnc f,55 Cnc,2,5,0,2007,Multiple Observatories,0,260.98,null,null,0.142,5317.89,0.96,0.97,12.5855
55 Cnc f,55 Cnc,2,5,0,2007,Multiple Observatories,0,260.0,null,null,0.2,5250.0,0.96,0.9,12.5855
55 Cnc f,55 Cnc,2,5,0,2007,Multiple Observatories,0,261.2,null,null,0.32,5250.0,0.96,0.9,12.5855
55 Cnc f,55 Cnc,2,5,0,2007,Multiple Observatories,0,259.88,null,null,0.08,5172.0,0.94,0.91,12.5855
55 Cnc f,55 Cnc,2,5,0,2007,Multiple Observatories,0,262.0,null,44.812,0.305,null,null,0.95,12.5855
6 Lyn b,6 Lyn,1,1,0,2008,Okayama Astrophysical Observatory,0,899.0,null,null,0.134,4978.0,5.2,1.7,54.6599
6 Lyn b,6 Lyn,1,1,0,2008,Okayama Astrophysical Observatory,0,874.774,null,null,0.125,null,5.2,1.82,54.6599
6 Lyn b,6 Lyn,1,1,0,2008,Okayama Astrophysical Observatory,0,919.86,null,null,0.042,4941.0,4.94,1.32,54.6599
6 Lyn b,6 Lyn,1,1,0,2008,Okayama Astrophysical Observatory,0,934.3,null,null,0.073,4938.0,5.2,1.44,54.6599
61 Vir b,61 Vir,1,3,0,2009,Multiple Observatories,0,4.21487,null,null,0.099,5585.57,1.03,0.91,8.50332
61 Vir b,61 Vir,1,3,0,2009,Multiple Observatories,0,4.215,null,null,0.12,5577.0,0.96,0.94,8.50332
61 Vir c,61 Vir,1,3,0,2009,Multiple Observatories,0,38.0957,null,null,0.068,5585.57,1.03,0.91,8.50332
61 Vir c,61 Vir,1,3,0,2009,Multiple Observatories,0,38.021,null,null,0.14,5577.0,0.96,0.94,8.50332
61 Vir d,61 Vir,1,3,0,2009,Multiple Observatories,0,123.01,null,null,0.35,5577.0,0.96,0.94,8.50332
7 CMa b,7 CMa,1,2,0,2011,Anglo-Australian Telescope,0,null,null,null,null,null,5.2,1.44,19.8101
7 CMa b,7 CMa,1,2,0,2011,Anglo-Australian Telescope,0,763.0,null,null,0.14,4792.0,2.3,1.52,19.8101
7 CMa b,7 CMa,1,2,0,2011,Anglo-Australian Telescope,0,735.1,null,null,0.06,4826.0,4.87,1.34,19.8101
7 CMa b,7 CMa,1,2,0,2011,Anglo-Australian Telescope,0,796.0,null,null,0.22,4794.52,4.91,null,19.8101
7 CMa c,7 CMa,1,2,0,2019,Multiple Observatories,0,996.0,null,null,0.08,4826.0,4.87,1.34,19.8101
7 CMa c,7 CMa,1,2,0,2019,Multiple Observatories,0,null,null,null,null,null,5.2,1.44,19.8101
70 Vir b,70 Vir,1,1,0,1996,Lick Observatory,0,116.6884,null,2380.45,0.4007,5545.0,null,1.11,17.9011
70 Vir b,70 Vir,1,1,0,1996,Lick Observatory,0,116.688,null,null,0.3988,5495.0,1.89,1.09,17.9011
70 Vir b,70 Vir,1,1,0,1996,Lick Observatory,0,116.6926,null,null,0.399,5439.0,1.94,1.09,17.9011
70 Vir b,70 Vir,1,1,0,1996,Lick Observatory,0,116.69335,null,null,0.3989,5481.86,1.92,1.06,17.9011
70 Vir b,70 Vir,1,1,0,1996,Lick Observatory,0,116.6884,null,null,0.4,5531.0,1.84,1.14,17.9011
70 Vir b,70 Vir,1,1,0,1996,Lick Observatory,0,116.689,null,null,0.397,null,null,null,17.9011
75 Cet b,75 Cet,2,2,0,2012,Okayama Astrophysical Observatory,0,696.62,null,null,0.093,4809.0,10.38,1.92,82.9613
75 Cet b,75 Cet,2,2,0,2012,Okayama Astrophysical Observatory,0,691.9,null,null,0.117,4846.0,10.5,2.49,82.9613
75 Cet c,75 Cet,2,2,0,2023,Okayama Astrophysical Observatory,0,2051.62,null,null,0.023,4809.0,10.38,1.92,82.9613
8 UMi b,8 UMi,1,1,0,2015,Bohyunsan Optical Astronomical Observatory,0,93.4,null,null,0.06,4847.0,10.3,1.44,162.552
8 UMi b,8 UMi,1,1,0,2015,Bohyunsan Optical Astronomical Observatory,0,93.4,null,null,0.06,4847.4,9.9,1.8,162.552
81 Cet b,81 Cet,1,1,0,2008,Okayama Astrophysical Observatory,0,952.7,null,null,0.206,4785.0,11.0,2.4,101.26
81 Cet b,81 Cet,1,1,0,2008,Okayama Astrophysical Observatory,0,null,null,null,null,null,null,1.6,101.26
81 Cet b,81 Cet,1,1,0,2008,Okayama Astrophysical Observatory,0,1005.57,null,null,0.037,4734.0,11.21,1.23,101.26
91 Aqr b,91 Aqr,3,1,0,2013,Lick Observatory,0,181.4,null,null,0.027,4665.0,11.0,1.4,44.0304
AB Aur b,AB Aur,1,1,0,2022,Subaru Telescope,0,null,null,2860.45566,0.4,9770.0,null,2.4,162.127
AB Pic b,AB Pic,1,1,0,2005,Paranal Observatory,0,null,null,4290.5,null,null,null,null,50.0475
AF Lep b,AF Lep,1,1,0,2023,Paranal Observatory,0,8030.0,null,1017.0509,0.24,6130.0,1.25,1.2,26.8564
AF Lep b,AF Lep,1,1,0,2023,Paranal Observatory,0,9060.0,null,1366.66215,0.32,6140.0,null,1.13,26.8564
AF Lep b,AF Lep,1,1,0,2023,Paranal Observatory,0,7520.0,null,1664.46737,0.47,6100.0,1.25,1.2,26.8564
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.4630004,4.19,null,0.12,null,0.75,null,9.7221
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46321,null,17.1,null,3700.0,0.75,0.5,9.7221
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.463,4.07,17.0,0.0,3700.0,0.75,0.5,9.7221
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,null,4.027,null,null,3588.0,0.7,null,9.7221
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.4629991,null,20.12,0.186,null,null,0.5,9.7221
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46308,3.957,null,0.00577,3678.0,0.74,0.51,9.7221
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.463,null,11.7,0.04,3700.0,0.75,0.5,9.7221
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46321,4.203,null,0.1,3700.0,0.75,0.5,9.7221
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.4631427,null,10.2,null,3665.0,0.82,0.6,9.7221
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46321,null,null,0.0,null,null,null,9.7221
AU Mic c,AU Mic,1,3,0,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.859019,3.24,13.6,0.0,3700.0,0.75,0.5,9.7221
AU Mic c,AU Mic,1,3,0,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.858982,2.79,null,0.13,null,0.75,null,9.7221
AU Mic c,AU Mic,1,3,0,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.858991,null,9.6,null,null,null,0.5,9.7221
AU Mic c,AU Mic,1,3,0,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85882,null,14.2,null,3665.0,0.82,0.6,9.7221
AU Mic c,AU Mic,1,3,0,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85969,2.522,null,0.00338,3678.0,0.74,0.51,9.7221
AU Mic c,AU Mic,1,3,0,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.859019,null,22.2,0.041,3700.0,0.75,0.5,9.7221
AU Mic d,AU Mic,1,3,0,2023,Multiple Observatories,0,12.73596,null,1.053,0.00305,3678.0,0.74,0.51,9.7221
BD+03 2562 b,BD+03 2562,1,1,0,2017,Multiple Observatories,0,481.9,null,null,0.2,4095.0,32.35,1.14,1070.63
BD+14 4559 b,BD+14 4559,1,1,0,2009,McDonald Observatory,0,268.94,null,null,0.29,5008.0,0.95,0.86,49.352
BD+14 4559 b,BD+14 4559,1,1,0,2009,McDonald Observatory,0,268.94,null,null,0.29,4864.0,0.86,0.49,49.352
BD+15 2375 b,BD+15 2375,1,1,0,2016,Roque de los Muchachos Observatory,0,153.22,null,null,0.001,4649.0,8.95,1.08,768.045
BD+15 2940 b,BD+15 2940,1,1,0,2013,McDonald Observatory,0,137.48,null,null,0.26,4796.0,14.7,1.1,426.42
BD+20 2457 b,BD+20 2457,1,2,0,2009,McDonald Observatory,0,379.63,null,null,0.15,4137.0,49.0,2.8,1539.71
BD+20 2457 b,BD+20 2457,1,2,0,2009,McDonald Observatory,0,379.63,null,null,0.15,4259.0,71.02,10.83,1539.71
BD+20 2457 c,BD+20 2457,1,2,0,2009,McDonald Observatory,0,621.99,null,null,0.18,4137.0,49.0,2.8,1539.71
BD+20 274 b,BD+20 274,1,1,0,2012,McDonald Observatory,0,578.2,null,null,0.21,4296.0,17.3,0.8,1322.51
BD+20 594 b,BD+20 594,1,1,0,2016,K2,0,41.688644,2.355,null,null,5703.0,0.96,0.96,179.461
BD+20 594 b,BD+20 594,1,1,0,2016,K2,0,41.6855,2.578,22.2481,0.0,5766.0,1.08,1.67,179.461
BD+20 594 b,BD+20 594,1,1,0,2016,K2,0,41.6855,2.23,16.3,0.0,5766.0,0.93,0.96,179.461
BD+45 564 b,BD+45 564,1,1,0,2021,Haute-Provence Observatory,0,307.88,null,null,0.12,5004.0,null,0.81,53.622
BD+48 738 b,BD+48 738,1,1,0,2011,McDonald Observatory,0,392.6,null,null,0.2,4414.0,11.0,0.74,871.493
BD+48 740 b,BD+48 740,1,1,0,2018,Multiple Observatories,0,733.0,null,null,0.76,4534.0,10.33,1.09,666.589
BD+49 828 b,BD+49 828,1,1,0,2015,McDonald Observatory,0,2590.0,null,null,0.35,4943.0,7.6,1.52,442.042
BD+55 362 b,BD+55 362,1,1,0,2021,Haute-Provence Observatory,0,265.59,null,null,0.27,5012.0,null,0.91,52.5697
BD+60 1417 b,BD+60 1417,1,1,0,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,null,14.684,4767.4261,null,4993.0,0.8,1.0,44.9543
BD+63 1405 b,BD+63 1405,1,1,0,2021,Haute-Provence Observatory,0,1230.0,null,3305.41543,0.891,5000.0,null,0.82,38.0473
BD+63 1405 b,BD+63 1405,1,1,0,2021,Haute-Provence Observatory,0,1198.48,null,null,0.88,5000.0,null,0.82,38.0473
BD-06 1339 b,BD-06 1339,1,2,0,2013,La Silla Observatory,1,3.8728,null,null,0.0,4324.0,null,0.7,20.2695
BD-06 1339 c,BD-06 1339,1,2,0,2013,La Silla Observatory,0,125.94,null,null,0.31,4324.0,null,0.7,20.2695
BD-08 2823 b,BD-08 2823,1,2,0,2009,La Silla Observatory,0,5.6,null,null,0.15,4746.0,null,0.74,41.3342
BD-08 2823 b,BD-08 2823,1,2,0,2009,La Silla Observatory,0,5.6,null,null,0.15,4816.0,0.71,0.5,41.3342
